original_cost,expenditure,physical_progress,project_duration_days,project_duration_months,expenditure_ratio,progress_per_month,sector,ministry,agency,cost_overrun_flag
683,488.37,94,2755.5,90.52233902759525,0.7150366032210834,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
1031,853.7,87,2755.5,90.52233902759525,0.8280310378273521,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
1740,2237.5,90,2755.5,90.52233902759525,1.285919540229885,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
43367,1788.6,13,2755.5,90.52233902759525,0.0412433417114395,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
522,190.1,36,2755.5,90.52233902759525,0.3641762452107279,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Gas Authority of India Limited [GAIL],0
412,430.83,84,2755.5,90.52233902759525,1.0457038834951455,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
1010,627.12,81,2755.5,90.52233902759525,0.6209108910891089,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,0
240,34.4,37,2755.5,90.52233902759525,0.1433333333333333,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,0
193,0.43,23,2755.5,90.52233902759525,0.0022279792746113,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,0
160,77.06,64,2755.5,90.52233902759525,0.481625,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,1
2282,1800.61,63,2755.5,90.52233902759525,0.7890490797546011,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
389,46.94,37,2755.5,90.52233902759525,0.1206683804627249,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
405,201.28,84,2755.5,90.52233902759525,0.4969876543209877,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],0
165,129.27,70,2755.5,90.52233902759525,0.7834545454545455,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,1
328,144.16,55,2755.5,90.52233902759525,0.4395121951219512,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
6184,360.0,17,2755.5,90.52233902759525,0.0582147477360931,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
13805,8250.46,90,2755.5,90.52233902759525,0.5976428830134008,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
1487,776.61,61,2755.5,90.52233902759525,0.52226630800269,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],1
34012,35498.3,96,2755.5,90.52233902759525,1.043699282606139,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],0
2915,4431.9,94,2755.5,90.52233902759525,1.520377358490566,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
202,55.46,45,2755.5,90.52233902759525,0.2745544554455446,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,1
